Product Name,Price,Ratings,Date
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
Apple iPhone 14 Plus 128GB Purple,"89,900
                              
                               .",4.6 out of 5 stars,18-11-2022
